
=== Target Sell Zone (2021-05-10 to 2022-04-12) ===
Date         | Close    | RSI    | EMA200   | Ext%   | Stoch Bear
2021-08-07   | 3162.79  | 80.55  | 2077.72  | 52.22  |           
2021-08-08   | 3014.22  | 71.69  | 2087.04  | 44.43  |           
2021-08-09   | 3164.89  | 74.73  | 2097.76  | 50.87  |           
2021-08-10   | 3141.79  | 73.43  | 2108.15  | 49.03  |           
2021-08-11   | 3163.34  | 73.88  | 2118.65  | 49.31  | YES       
2021-08-12   | 3047.10  | 67.18  | 2127.89  | 43.20  |           
2021-08-13   | 3324.27  | 73.38  | 2139.79  | 55.35  |           
2021-08-14   | 3266.92  | 70.42  | 2151.01  | 51.88  |           
2021-08-15   | 3311.97  | 71.39  | 2162.56  | 53.15  |           
2021-08-16   | 3147.20  | 63.17  | 2172.36  | 44.88  | YES       
2021-08-17   | 3011.99  | 57.33  | 2180.71  | 38.12  |           
2021-08-18   | 3013.88  | 57.39  | 2189.00  | 37.68  |           
2021-08-19   | 3184.76  | 62.47  | 2198.91  | 44.83  |           
2021-08-20   | 3286.48  | 65.13  | 2209.73  | 48.73  |           
2021-08-21   | 3226.30  | 62.31  | 2219.84  | 45.34  |           
2021-08-22   | 3241.18  | 62.74  | 2230.01  | 45.34  |           
2021-08-23   | 3321.89  | 65.07  | 2240.87  | 48.24  |           
2021-08-24   | 3173.39  | 57.91  | 2250.15  | 41.03  |           
2021-08-25   | 3229.43  | 59.71  | 2259.89  | 42.90  | YES       
2021-08-26   | 3093.22  | 53.70  | 2268.19  | 36.37  |           
2021-08-27   | 3275.47  | 59.57  | 2278.21  | 43.77  |           
2021-08-28   | 3246.77  | 58.31  | 2287.85  | 41.91  |           
2021-08-29   | 3225.45  | 57.35  | 2297.18  | 40.41  |           
2021-08-30   | 3227.88  | 57.43  | 2306.44  | 39.95  |           
2021-08-31   | 3431.58  | 64.02  | 2317.63  | 48.06  |           
2021-09-01   | 3831.16  | 72.88  | 2332.69  | 64.24  |           
2021-09-02   | 3789.13  | 70.90  | 2347.18  | 61.43  |           
2021-09-03   | 3939.03  | 73.65  | 2363.02  | 66.69  |           
2021-09-04   | 3887.32  | 71.16  | 2378.19  | 63.46  |           
2021-09-05   | 3952.57  | 72.43  | 2393.86  | 65.11  |           
2021-09-06   | 3928.63  | 71.19  | 2409.13  | 63.07  |           
2021-09-07   | 3433.10  | 51.54  | 2419.32  | 41.90  | YES       
2021-09-08   | 3498.99  | 53.39  | 2430.06  | 43.99  |           
2021-09-09   | 3423.93  | 51.01  | 2439.95  | 40.33  |           
2021-09-10   | 3209.23  | 44.85  | 2447.60  | 31.12  |           
2021-09-11   | 3266.35  | 46.69  | 2455.75  | 33.01  |           
2021-09-12   | 3405.71  | 51.00  | 2465.20  | 38.15  |           
2021-09-13   | 3284.78  | 47.42  | 2473.36  | 32.81  |           
2021-09-14   | 3434.89  | 51.93  | 2482.92  | 38.34  |           
2021-09-15   | 3615.31  | 56.73  | 2494.19  | 44.95  |           
2021-09-16   | 3569.66  | 55.23  | 2504.89  | 42.51  |           
2021-09-17   | 3399.06  | 49.90  | 2513.79  | 35.22  |           
2021-09-18   | 3436.14  | 51.01  | 2522.97  | 36.19  |           
2021-09-19   | 3328.90  | 47.73  | 2530.99  | 31.53  |           
2021-09-20   | 2977.31  | 38.90  | 2535.43  | 17.43  | YES       
2021-09-21   | 2765.45  | 34.73  | 2537.72  | 8.97   |           
2021-09-22   | 3078.87  | 44.25  | 2543.10  | 21.07  |           
2021-09-23   | 3154.68  | 46.29  | 2549.19  | 23.75  |           
2021-09-24   | 2930.44  | 41.46  | 2552.98  | 14.79  |           
2021-09-25   | 2925.95  | 41.36  | 2556.69  | 14.44  |           
2021-09-26   | 3062.40  | 45.38  | 2561.72  | 19.54  |           
2021-09-27   | 2925.95  | 42.26  | 2565.35  | 14.06  |           
2021-09-28   | 2807.14  | 39.71  | 2567.75  | 9.32   | YES       
2021-09-29   | 2850.68  | 41.11  | 2570.57  | 10.90  |           
2021-09-30   | 3000.43  | 45.80  | 2574.85  | 16.53  |           
2021-10-01   | 3310.76  | 53.97  | 2582.17  | 28.22  |           
2021-10-02   | 3390.22  | 55.80  | 2590.21  | 30.89  |           
2021-10-03   | 3418.45  | 56.47  | 2598.45  | 31.56  |           
