time,open,high,low,close,Shape Stoch Cross Bull,Shape Stoch Cross Bear,Stoch Cross Bull,Stoch Cross Bear,Stoch Cross,EMA21,EMA55,EMA200,Volume,BBWP,Extreme Hi,Extreme Lo,MA 1,MA 2,%K,%D,RSI,RSI EMA,Positive Regular Div,Negative Regular Div,Positive Hidden Div,Negative Hidden Div
1720224000,2980.79,3081.01,2955.5,3066.86,0,0,0,0,0,3348.027498633594,3415.4249362100863,3087.8392767517144,NaN,88,NaN,NaN,51.92697598229435,NaN,25.91064483970885,28.24668955773053,32.6744067573849,36.374576622240156,0,0,1,0
1720310400,3066.86,3073.33,2923.11,2931.3,0,0,0,0,0,3310.1431805759944,3398.134759916869,3086.2816720079163,NaN,92,NaN,NaN,60.832092430673384,NaN,20.36103230811589,24.918894775216263,28.41566858241488,34.7827950142751,0,0,0,0
1720396800,2931.29,3093.13,2823.93,3018.84,0,0,0,0,0,3283.661073250904,3384.5885184912663,3085.610610594902,NaN,88,NaN,NaN,66.86940522385707,NaN,17.829048452511884,21.366908533445514,34.36500278656614,34.69923656873331,0,0,0,0
1720483200,3018.98,3112.28,3004.03,3066.16,0,0,0,0,0,3263.8882484099126,3373.2160714022925,3085.4170721810224,NaN,84,NaN,NaN,70.67620406299994,NaN,21.77145673867017,19.987179166432625,37.393935823579156,35.238176419702484,0,0,0,0
1720569600,3066.2,3150.36,3024.9,3100.99,0,0,0,0,0,3249.079316736284,3363.4937117093536,3085.572026686684,NaN,68,NaN,NaN,70.08149204899996,NaN,28.293664379618097,22.631389856933357,39.603268222512284,36.11119478026444,0,0,0,0
1720656000,3100.99,3213.85,3055.16,3099.24,0,0,0,0,0,3235.4575606693493,3354.0560791483053,3085.7080264211445,NaN,38,NaN,NaN,62.95227159366664,NaN,31.60761432556383,27.224245147950672,39.52779090437221,36.79451400508599,0,0,0,0
1720742400,3099.26,3157.38,3047.84,3133.84,0,0,0,0,0,3226.219600608499,3346.191219178723,3086.186951531382,NaN,46,NaN,NaN,59.185100128407385,NaN,33.965929445243205,31.28906938347502,41.88603457460276,37.81281811898935,0,0,0,0
1720828800,3133.79,3202.02,3113.97,3176.54,0,0,0,0,0,3221.7032732804537,3340.132247065197,3087.0859868395273,NaN,50,NaN,NaN,57.14396676653908,NaN,40.13228210287503,35.23527529122733,44.74958507715493,39.20017151062247,0,0,0,0
1720915200,3176.63,3267.9,3164.58,3245.73,0,0,0,0,0,3223.887521164049,3336.76073824144,3088.664534234159,NaN,64,NaN,NaN,58.66752970730818,NaN,45.68007338624688,39.92609497812168,49.12416193806258,41.18496959611049,0,0,0,0
1721001600,3245.73,3493.78,3234.69,3484.44,0,0,0,0,0,3247.5741101491353,3342.03499758996,3092.6025985701376,NaN,82,NaN,NaN,63.852523105684135,NaN,55.59784202339468,47.136732504172166,60.688732698597626,45.08572221660792,0,0,0,0
1721088000,3484.44,3498.74,3348.8,3445.66,0,0,0,0,0,3265.581918317396,3345.7358905331757,3096.115607539589,NaN,82,NaN,NaN,67.88529574886545,NaN,63.77206202961194,55.016659146417815,58.36753994526571,47.74208576233948,0,0,0,1
1721174400,3445.68,3517.57,3378.56,3389.05,0,0,0,0,0,3276.806289379451,3347.2828230141336,3099.0303776138217,NaN,81,NaN,NaN,70.79967447133978,NaN,70.63972776735106,63.336543940119206,55.05709432399451,49.205087474670485,0,0,0,0
1721260800,3389.05,3489.38,3368.93,3426.45,0,0,0,0,0,3290.410263072228,3350.1102221922,3102.288284304231,NaN,80,NaN,NaN,72.84419125548649,NaN,77.57374547384785,70.66184509027026,56.80033973749203,50.72413792723479,0,0,0,0
1721347200,3426.45,3538.9,3376.79,3503,0,0,0,0,0,3309.7366027929347,3355.5705713996217,3106.275465554935,NaN,78,NaN,NaN,73.98992653204505,NaN,84.86264875473836,77.6920406653124,60.202909100194645,52.61989216182676,0,0,0,0
1721433600,3502.96,3540.69,3481.71,3518.89,0,0,0,0,0,3328.750547993577,3361.4034081353493,3110.381082813095,NaN,71,NaN,NaN,73.32549841381281,NaN,90.83814165607792,84.42484529488802,60.89149987762367,54.274213704986146,0,0,0,0
1721520000,3518.9,3546.91,3413.22,3536.62,0,0,0,0,0,3347.647770903252,3367.6611435590867,3114.6222660686863,NaN,59,NaN,NaN,70.1420543218544,NaN,91.42351325328036,89.04143455469885,61.6880509792715,55.756981159843214,0,0,0,0
1721606400,3536.53,3561.5,3423.95,3439.83,0,1,0,1,1,3356.027973548411,3370.238602717691,3117.858163918749,NaN,14.000000000000002,NaN,NaN,57.6660422503312,NaN,90.44333165900235,90.90166218945352,55.091274900090475,55.623839907892666,0,0,0,0
1721692800,3439.83,3541.16,3393.41,3483.61,0,0,0,0,0,3367.6263395894644,3374.287581192059,3121.4974856708013,NaN,14.000000000000002,NaN,NaN,47.96247730581316,NaN,91.76366287631912,91.21016926286727,57.3147801878179,55.962027963877716,0,0,0,0
1721779200,3483.6,3487.86,3305.49,3336.34,0,1,0,1,1,3364.782126899513,3372.9323104351997,3123.6352221317884,NaN,41,NaN,NaN,46.41526012674357,NaN,88.8699016357222,90.35896539034786,48.5981198852587,54.48924634815391,0,0,0,0
1721865600,3336.35,3341.52,3087.67,3174.81,0,0,0,0,0,3347.5119335450117,3365.8565136339425,3124.1444239016214,NaN,75,NaN,NaN,52.76742454302278,NaN,80.95933826228274,87.197634258108,41.19735779683098,51.830868637889324,0,0,0,0
1721952000,3174.81,3284.93,3170.32,3273.89,0,0,0,0,0,3340.819030495465,3362.571995289873,3125.6344296339435,NaN,80,NaN,NaN,58.819107977906604,NaN,72.86183943897389,80.89702644565959,46.571930539901786,50.77908101829182,0,0,0,0
1722038400,3273.89,3327.64,3193.2,3249.4,0,0,0,0,0,3332.508209541332,3358.5301383152346,3126.865927846541,NaN,82,NaN,NaN,63.97041731614958,NaN,63.402637822069075,72.4079385077752,45.46576760338057,49.71641833530957,0,0,0,0
1722124800,3249.4,3283.43,3199.68,3270.1,0,0,0,0,0,3326.834735946665,3355.3719190896904,3128.2911424948343,NaN,77,NaN,NaN,66.86588013478301,NaN,56.66669281165766,64.31039002423351,46.619860608823,49.097106790012255,0,0,0,0
1722211200,3270.1,3396.64,3258.86,3317.58,0,0,0,0,0,3325.99339631515,3354.02220769363,3130.174613713791,NaN,67,NaN,NaN,66.89568454927567,NaN,50.51230768883534,56.86054610752066,49.271698512532645,49.13202513451633,0,0,0,0
1722297600,3317.59,3365.38,3234.93,3278.72,0,0,0,0,0,3321.6958148319545,3351.3328431331433,3131.6526772589277,NaN,60,NaN,NaN,65.36331020499219,NaN,45.65358103087521,50.94419384378938,47.204749621243444,48.74657003186176,0,0,0,0
1722384000,3278.74,3348.5,3213.92,3231.66,0,0,0,0,0,3313.5107407563223,3347.0588130212454,3132.647774997645,NaN,21,NaN,NaN,55.504796826105036,NaN,42.78959805919586,46.31849559296878,44.75614488366262,47.94848500222193,0,0,0,0
1722470400,3231.55,3241.54,3079.73,3202.52,0,0,0,0,0,3303.4206734148383,3341.896712556201,3133.343021017569,NaN,12,NaN,NaN,45.83706419808169,NaN,38.96947799715161,42.47088569574087,43.25977302724147,47.010742607225836,0,0,0,0
1722556800,3202.5,3215.07,2965.11,2986.86,0,0,0,0,0,3274.642430377126,3329.216829964908,3131.8854785198814,NaN,69,NaN,NaN,50.98438326517465,NaN,32.60438584647823,38.12115396760854,34.15770163018745,44.44013441181816,0,0,0,0
1722643200,2986.86,3014.34,2857.21,2900.16,0,0,0,0,0,3240.5985730701145,3313.8933717518753,3129.5797523654546,NaN,86,NaN,NaN,58.76563142846917,NaN,26.40913133731546,32.660998393648406,31.30591768156762,41.81329106576805,0,0,0,0
1722729600,2900.1,2932.03,2635.04,2687.32,0,0,0,0,0,3190.3005209728312,3291.5157513321656,3125.1791578145544,NaN,94,NaN,NaN,66.59549111103158,NaN,18.597406246760503,25.87030781018471,25.6453984866436,38.57971254994316,0,0,0,0
1722816000,2687.31,2696.24,2127,2418.11,0,0,0,0,0,3120.101382702574,3260.322688784588,3118.1436438064493,NaN,98,98,NaN,73.57427086413567,NaN,15.259591910926995,20.088709831667632,20.577339390985244,34.979237918151576,0,0,0,0
1722902400,2418.11,2553.32,2416.8,2462.16,0,0,0,0,0,3060.288529729613,3231.8168784708528,3111.6164433705644,NaN,100,100,NaN,79.44665511654996,NaN,14.088875650556796,15.98195793608141,23.250036859411537,32.63339770640357,0,0,0,0
1722988800,2462.16,2551.22,2310.25,2343.66,0,0,0,0,0,2995.1404815723754,3200.0969899540364,3103.975085725086,NaN,100,100,NaN,84.01406509064996,NaN,12.358251431002977,13.902239664162236,21.184726370883666,30.34366343929959,0,0,0,0
1723075200,2343.68,2723.01,2321.23,2683.35,0,0,0,0,0,2966.795892338523,3181.6417403128207,3099.7897614890157,NaN,98,98,NaN,87.12205062606108,NaN,18.214352403947014,14.887159828502242,38.146616976121905,31.90425414666405,0,0,0,0
1723161600,2683.35,2707.05,2554.13,2599.34,0,0,0,0,0,2933.390811216839,3160.845249587363,3094.81016187221,NaN,92,NaN,NaN,88.20603937582528,NaN,22.76475349739215,17.779119110780695,36.078634436561224,32.73913020464349,0,0,0,0
1723248000,2599.34,2644.49,2577.79,2610.92,0,0,0,0,0,2904.0752829243993,3141.2050621021,3089.995334390894,NaN,88,NaN,NaN,88.16025284786411,NaN,27.75090040219104,22.910002101176715,36.588925787411846,33.50908932119716,0,0,0,0
1723334400,2610.92,2718.09,2542.7,2555.72,0,0,0,0,0,2872.406620840363,3120.294881312739,3084.679161909393,NaN,80,NaN,NaN,86.34686332611653,NaN,29.99649540690099,26.837383102161372,35.148489572620704,33.83696937148187,0,0,0,0
1723420800,2555.68,2749.02,2511.46,2722.65,0,0,0,0,0,2858.792382582148,3106.0932784087126,3081.0768816913887,NaN,81,NaN,NaN,85.15867147586842,NaN,33.92160125637681,30.55633235515626,42.518264781146094,35.573228453414714,0,0,0,0
1723507200,2722.62,2738.65,2612.26,2702.9,0,0,0,0,0,2844.620347801953,3091.6935184655445,3077.313927644708,NaN,79,NaN,NaN,83.79007781456433,NaN,38.964233599870255,34.294110087716,41.911411336582745,36.84086503004832,0,0,0,0
1723593600,2702.9,2777.48,2635.51,2662.25,0,0,0,0,0,2828.0412252745027,3076.356249948918,3073.18393831491,NaN,75,NaN,NaN,81.83672718910559,NaN,39.526578801208224,37.47080455248508,40.626148143905475,37.59792165281975,0,0,0,0
1723680000,2662.24,2675.74,2518.28,2570.37,0,0,0,0,0,2804.616568431366,3058.2853124507424,3068.1808145505825,NaN,46,NaN,NaN,73.87301003597102,NaN,39.77994142340288,39.42358460816043,37.80422462134022,37.639182246523845,0,0,0,0
1723766400,2570.37,2629.96,2552.27,2593.17,0,0,0,0,0,2785.3941531194237,3041.6740512917872,3063.45433878391,NaN,45,NaN,NaN,67.45678558353302,NaN,40.12721938004154,39.81124653488419,38.93769795900106,37.89888538901929,0,0,0,0
1723852800,2593.17,2628.07,2588.17,2615.14,0,0,0,0,0,2769.9165028358398,3026.4406923170804,3058.9934995920303,NaN,44,NaN,NaN,62.24416656497013,NaN,41.15976759767329,40.35564280037255,40.07105551483067,38.33331941418157,0,0,0,0
1723939200,2615.14,2685.76,2595.05,2612.42,0,0,0,0,0,2755.5986389416726,3011.654239020042,3054.5499821831545,NaN,43,NaN,NaN,57.96768510608788,NaN,40.59952105066819,40.62883600946099,39.972137663052855,38.66108306395582,0,0,0,0
1724025600,2612.42,2648.28,2564.79,2636.77,0,0,0,0,0,2744.7960354015204,2998.265516197898,3050.3929674350634,NaN,39,NaN,NaN,53.75264397140168,NaN,40.84810964100549,40.86913276311564,41.36753155351128,39.20237276186691,0,0,0,0
1724112000,2636.71,2695.74,2556.24,2573.55,0,0,0,0,0,2729.228214001382,2983.097104905116,3045.648261291431,NaN,26,NaN,NaN,47.58538975553464,NaN,42.20926731980423,41.21896600382595,38.84291206582474,39.130480622658474,0,0,0,0
1724198400,2573.55,2662.61,2537.65,2630.84,0,0,0,0,0,2720.2838309103477,2970.5164940156474,3041.520815905447,NaN,6,NaN,NaN,38.3441920320825,NaN,46.82019481878486,43.29252392653151,42.2806051964832,39.76050553742342,0,0,0,0
1724284800,2630.84,2645.06,2585.31,2623.37,0,0,0,0,0,2711.4734826457707,2958.11840494366,3037.360111269572,NaN,2,NaN,2,30.267704913841946,NaN,53.264316547332896,47.431259561973974,41.94949427872448,40.19830328568363,0,0,0,0
1724371200,2623.37,2798.39,2621.7,2762.41,0,0,0,0,0,2716.1040751325186,2951.1288190528153,3034.6242892668897,NaN,43,NaN,NaN,33.09710382187707,NaN,62.04212027749105,54.04221054786958,49.82570654754443,42.12378393805579,0,0,0,0
1724457600,2762.39,2820.87,2735.95,2770.64,0,0,0,0,0,2721.0618864841076,2944.682789800929,3031.9975799209506,NaN,55.00000000000001,NaN,NaN,37.964414083682165,NaN,69.8103777685855,61.70560486446979,50.25593333810396,43.75021381806542,0,0,0,0
1724544000,2770.61,2793,2734.73,2746.97,0,0,0,0,0,2723.417169531007,2937.6216187366103,3029.161484598354,NaN,56.00000000000001,NaN,NaN,41.97232206508613,NaN,76.20346189177933,69.35198664595192,48.9557546562038,44.791321985693095,0,0,0,0
1724630400,2746.97,2762.99,2668.08,2681.51,0,0,0,0,0,2719.60742684637,2928.474775210303,3025.7022658461315,NaN,54,NaN,NaN,44.64513938395588,NaN,76.97594078789281,74.32992681608584,45.453516971375315,44.92376098282954,0,0,0,0
1724716800,2681.51,2700.18,2398.35,2457.63,0,0,0,0,0,2695.7912971330634,2911.6588903813636,3020.0498054894533,NaN,71,NaN,NaN,50.50177507641013,NaN,68.88321039184088,74.02087102383764,35.974546408062906,43.133918067876216,0,0,0,0
1724803200,2457.63,2554.76,2420.43,2528.57,0,0,0,0,0,2680.5893610300577,2897.9771442963147,3015.159459166175,NaN,71,NaN,NaN,55.056936170541206,NaN,61.30180675543807,69.05365264505723,40.228094546865655,42.55275336367411,0,0,0,0
1724889600,2528.6,2595.62,2506.51,2528.13,0,0,0,0,0,2666.729419118234,2884.7683177143035,3010.313394895865,NaN,74,NaN,NaN,59.26650591042094,NaN,50.9828970889237,60.389304745400864,40.2102509810181,42.0842528871429,0,0,0,0
1724976000,2528.13,2547.08,2433.5,2526.07,0,0,0,0,0,2653.9421991983945,2871.957663510221,3005.495052658095,NaN,79,NaN,NaN,63.651726819216286,NaN,40.993766373632944,51.092823405998224,40.12052504020922,41.69150731775617,0,0,0,0
1725062400,2526.06,2533.21,2492.15,2512.74,0,0,0,0,0,2641.105635634904,2859.128461241999,3000.592017308263,NaN,75,NaN,NaN,66.17356530383489,NaN,31.30442035785953,41.09369460680538,39.50620572526165,41.25444699925727,0,0,0,0
1725148800,2512.74,2515.66,2400.23,2425.65,0,0,0,0,0,2621.5187596680944,2843.6470876262133,2994.871201215644,NaN,71,NaN,NaN,67.24610634742714,NaN,23.221385969894953,31.83985756712913,35.66400141118011,40.136357881641835,0,0,0,0
1725235200,2425.65,2563.68,2423.78,2537.85,0,0,0,0,0,2613.9125087891766,2832.7257630681343,2990.323726576682,NaN,56.99999999999999,NaN,NaN,64.96919382577667,NaN,26.385733219729275,26.970513182494575,43.313050855342794,40.771696476382026,0,0,0,0
1725321600,2537.84,2552.63,2417.12,2425.21,0,0,0,0,0,2596.7577352628878,2818.171628672844,2984.7007044216903,NaN,35,NaN,NaN,58.30937297560408,NaN,22.308608665467535,23.971909285030573,38.37972553864985,40.29330228883559,0,0,0,0
1725408000,2425.27,2488.58,2308.57,2449.98,0,0,0,0,0,2583.4143047844436,2805.0219276488137,2979.3801003975937,NaN,37,NaN,NaN,53.57395675880317,NaN,21.789818873152388,23.494720252783054,39.99819076809119,40.23427998468671,0,0,0,0
1725494400,2449.98,2465.55,2348.86,2368.52,0,0,0,0,0,2563.878458894949,2789.4325730899277,2973.301890443389,NaN,51,NaN,NaN,53.00196636795802,NaN,18.702147669707724,20.933525069442535,36.5941518717967,39.506254362108706,0,0,0,0
1725580800,2368.53,2407.24,2150.72,2224.55,0,0,0,0,0,2533.0304171772264,2769.2581954795733,2965.851622876788,NaN,73,NaN,NaN,57.44597384174513,NaN,16.026091314518613,18.839352619126227,31.492876388053304,37.903578767297624,0,0,0,0
1725667200,2224.51,2310.06,2221.41,2272.8,0,0,0,0,0,2509.373106524751,2751.5275456410172,2958.9555868282628,NaN,76,NaN,NaN,61.56909076580177,NaN,17.985355402205183,17.571198128810494,34.7745412714292,37.27777126812394,1,0,0,0
1725753600,2272.8,2332.08,2241.79,2296.85,0,0,0,0,0,2490.05282411341,2735.2890618681236,2952.367471536439,NaN,75,NaN,NaN,64.55373726229027,NaN,16.116918291420028,16.709455002714595,36.40967026650383,37.10415106779992,0,0,0,0
1725840000,2296.83,2379.13,2273.09,2359.29,0,0,0,0,0,2478.1652946485547,2721.860523944262,2946.4662031629423,NaN,74,NaN,NaN,66.6529067595591,NaN,20.244549527178446,18.115607740267873,40.57488508581184,37.798297871402305,0,0,0,0
1725926400,2359.34,2399.04,2322.29,2388.74,0,0,0,0,0,2470.035722407777,2709.9633623748236,2940.9166887036095,NaN,61,NaN,NaN,65.39670525743486,NaN,21.56362527072643,19.308364363108286,42.48830198906399,38.73629869493464,0,0,0,0
1726012800,2388.72,2389.08,2278.32,2340.39,0,0,0,0,0,2458.2497476434337,2696.76431371858,2934.94129876626,NaN,54,NaN,NaN,62.864104089116005,NaN,24.53505970399762,22.11441150063415,40.19975993077469,39.02899094210265,0,0,0,0
1726099200,2340.39,2391.32,2316.02,2361.98,0,0,0,0,0,2449.4979524031214,2684.8077310857734,2929.240191315849,NaN,42,NaN,NaN,58.22763651375689,NaN,28.44963450623923,24.849439826987748,41.70958800049542,39.56511035378121,0,0,0,0
1726185600,2361.98,2462.39,2337.31,2439.07,0,0,0,0,0,2448.5499567301104,2676.0313835469956,2924.3628759793733,NaN,52,NaN,NaN,56.843717288477585,NaN,34.15996454527126,29.048219585169353,46.86794361968261,41.02567700696149,0,0,0,0
1726272000,2439.08,2441.9,2383.85,2419.16,0,0,0,0,0,2445.8781424819185,2666.8574055631743,2919.335981691021,NaN,40,NaN,NaN,53.10066900214923,NaN,40.58189596171206,34.397165004407505,45.7420744962641,41.96895650482201,0,0,0,1
1726358400,2419.16,2430.19,2287.85,2316.58,0,0,0,0,0,2434.1237658926534,2654.3474982216326,2913.3384097338967,NaN,32,NaN,NaN,48.41163144611607,NaN,41.60813008978644,38.78333019892324,40.36230041010699,41.64762528587901,0,0,0,0
1726444800,2316.59,2335.42,2252.91,2295.55,0,0,0,0,0,2421.526150811503,2641.5333018565743,2907.1912613783356,NaN,32,NaN,NaN,44.764602235868054,NaN,41.533758733638415,41.24126159504562,39.34076770898761,41.18625377050073,0,0,0,0
1726531200,2295.55,2392.8,2263.38,2341.37,0,0,0,0,0,2414.2392280104573,2630.8131839331254,2901.5611990760635,NaN,32,NaN,NaN,41.92802396123071,NaN,44.306419516087125,42.48276944650397,42.7410889113975,41.49722079868008,0,0,0,0
1726617600,2341.37,2375.84,2277.83,2374.75,0,0,0,0,0,2410.6492981913248,2621.668070221228,2896.3192965976946,NaN,30,NaN,NaN,39.27735196984611,NaN,47.597323008826315,44.479167086183935,45.15316251297281,42.22840914153863,0,0,0,0
1726704000,2374.74,2493.04,2372.85,2465.2,0,0,0,0,0,2415.608452901204,2616.079924856184,2892.029552352941,NaN,43,NaN,NaN,40.10460708765808,NaN,51.542965783057674,47.81556943599035,51.15734220773965,44.01419575477883,0,0,0,0
1726790400,2465.14,2571.7,2438.06,2561.64,0,0,0,0,0,2428.884048092004,2614.135641825606,2888.7420941205737,NaN,64,NaN,NaN,45.41469440151184,NaN,57.755163010815146,52.298483934233026,56.611303011403976,46.53361720610386,0,0,0,0
